family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
217,12,11,1,52,67,69,17,37,39,59,5
218,25,53,75,19,27,4,45,18,92,20,4
219,26,75,1,49,19,20,95,88,10,96,4
220,74,19,24,23,46,94,89,4,68,99,4
221,34,12,53,92,30,80,20,10,11,13,2
222,1,36,6,15,38,11,12,31,89,75,4
223,40,82,80,89,10,85,28,38,95,19,5
224,61,46,20,45,22,33,75,97,63,13,8
225,88,46,40,37,25,30,75,61,29,24,4
226,1,47,61,10,96,26,18,54,6,38,7
227,82,85,28,81,47,87,45,60,54,25,3
228,57,30,84,24,40,3,18,34,70,54,3
229,18,1,91,31,2,12,26,95,37,22,4
230,39,1,18,95,38,32,81,68,9,16,2
231,66,49,3,14,87,72,94,6,24,31,6
232,87,4,75,10,49,96,33,52,1,74,4
233,40,90,53,96,17,56,61,80,89,1,4
234,11,81,12,87,40,22,1,46,68,52,3
235,81,15,3,50,31,56,33,10,5,2,4
236,74,26,32,40,33,80,67,1,49,4,4
237,66,75,67,16,27,37,68,19,4,34,3
238,90,1,60,88,12,45,9,40,5,95,4
239,98,27,61,85,8,7,47,81,96,46,4
240,47,5,88,44,12,25,46,13,68,51,7
241,53,83,7,59,88,12,70,26,24,31,8
242,85,19,89,33,40,75,28,1,31,68,7
243,58,71,73,1,46,67,30,29,74,53,3
244,81,1,22,32,74,31,54,88,66,38,4
245,18,49,40,46,60,24,10,1,88,68,8
246,4,59,12,28,17,80,29,36,60,81,5
247,31,79,1,32,91,19,11,24,49,94,7
248,28,63,39,32,1,46,52,47,15,74,2
249,86,19,56,74,1,53,75,15,95,64,4
250,94,66,10,1,52,4,45,17,81,56,6
251,3,16,67,45,2,21,26,48,86,10,3
252,1,100,25,39,10,17,12,3,33,53,2
253,33,70,10,12,99,59,72,1,3,35,5
254,74,1,62,95,82,31,22,65,60,57,8
255,26,21,1,53,41,59,45,74,88,22,6
256,88,11,39,25,70,1,17,47,80,16,7
257,60,29,53,95,73,10,18,79,24,38,4
258,2,1,42,32,11,17,93,91,12,10,5
259,38,73,31,45,18,19,10,30,33,43,2
260,75,24,33,60,3,18,19,95,15,31,4
261,68,3,13,74,29,41,53,25,14,95,4
262,95,45,1,39,46,17,58,10,47,5,3
263,1,75,17,32,27,53,30,95,55,74,4
264,53,5,55,44,76,91,36,4,60,19,6
265,10,75,87,66,39,1,56,19,26,25,2
266,50,65,49,88,76,8,53,4,97,24,5
267,28,75,40,19,94,1,4,53,42,11,4
268,38,22,42,56,28,53,31,74,60,17,5
269,27,54,67,62,82,80,59,11,52,19,7
270,76,97,37,18,47,46,22,1,66,45,4
271,94,51,1,3,11,45,35,12,27,52,6
272,13,66,5,26,89,59,94,61,45,18,2
273,33,1,10,60,11,24,41,57,28,7,7
274,89,4,11,39,68,76,19,40,54,3,6
275,15,1,12,3,20,7,66,26,73,34,5
276,60,39,18,52,12,17,38,87,66,1,6
277,66,25,11,22,96,16,46,80,1,18,8
278,13,75,60,36,92,5,70,90,1,54,3
279,25,89,59,63,45,19,74,27,20,87,3
280,21,52,94,26,59,45,12,57,25,36,3
281,61,95,82,47,10,4,5,8,35,24,3
282,26,11,60,7,19,1,61,89,57,29,4
283,39,59,68,24,61,7,74,20,10,94,4
284,80,38,54,1,34,28,25,12,16,39,6
285,80,6,75,45,59,10,1,4,15,87,4
286,18,38,74,66,1,26,17,82,53,93,4
287,24,39,87,66,94,37,17,38,54,7,5
288,19,37,51,40,81,53,2,11,80,32,7
289,81,61,48,54,85,26,1,39,100,5,4
290,18,43,38,57,95,52,2,12,58,27,7
291,31,84,61,96,75,15,25,1,3,18,5
292,95,74,22,35,66,29,1,73,12,8,3
293,79,52,57,67,33,60,46,23,26,10,3
294,72,75,18,80,54,3,91,5,32,38,7
295,89,5,53,43,87,38,16,50,47,56,5
296,28,33,26,37,1,89,39,40,86,55,4
297,24,53,80,10,98,1,32,99,55,75,6
298,7,18,68,31,28,45,10,42,1,22,3
299,50,12,73,38,1,75,21,14,8,74,2
300,18,5,88,51,4,1,25,40,11,89,4
301,88,95,46,32,40,3,25,83,45,18,3
302,2,51,25,57,1,10,7,89,87,46,5
303,47,7,57,31,40,26,28,75,58,52,2
304,47,46,95,90,31,40,20,89,96,19,4
305,66,11,12,9,24,10,2,52,96,94,4
306,5,39,28,12,94,18,26,68,95,33,3
307,25,73,85,24,37,68,40,11,33,12,3
308,1,68,7,42,24,38,15,87,47,18,3
309,3,59,60,4,67,25,79,39,58,50,2
310,61,3,26,31,25,75,5,16,47,74,3
311,35,96,38,22,87,12,30,26,5,1,2
312,18,17,26,5,12,1,53,87,36,67,8
313,83,15,65,3,78,51,68,1,31,5,4
314,1,58,3,24,82,20,73,60,6,85,2
315,19,58,61,55,21,29,1,2,60,45,5
316,33,52,40,18,30,96,1,85,12,31,4
317,16,5,46,17,31,22,45,64,59,75,8
318,25,52,82,94,33,60,35,23,17,48,7
319,12,64,59,27,88,26,53,23,76,7,3
320,51,1,14,2,33,61,18,40,53,12,4
321,44,54,38,87,14,66,48,39,81,1,6
322,31,3,41,47,38,52,35,68,36,18,5
323,28,17,1,86,27,24,10,25,31,55,4
324,5,13,45,65,40,19,43,51,38,85,5
325,95,43,45,65,41,24,90,89,17,74,3
326,14,22,61,58,74,19,37,54,53,1,2
327,32,47,2,19,5,24,80,82,36,39,5
328,1,83,48,61,14,60,67,80,81,33,5
329,15,33,11,58,41,68,24,27,20,1,3
330,1,49,31,79,67,7,25,75,87,81,4
331,5,55,87,84,95,18,67,38,74,71,3
332,13,9,26,1,67,5,39,96,50,24,2
333,4,59,16,82,2,10,52,97,47,75,8
334,89,38,47,24,26,31,6,63,74,32,4
335,94,24,70,59,17,60,67,19,22,84,6
336,61,39,40,58,8,46,27,12,87,3,4
337,80,3,71,96,21,13,63,5,81,1,7
338,72,74,52,49,32,31,4,88,87,1,6
339,38,20,36,79,24,61,46,45,32,5,5
340,60,58,39,67,17,2,59,6,38,81,4
341,3,17,67,25,45,37,61,21,22,52,2
342,44,4,5,25,67,46,53,54,74,1,3
343,88,24,18,81,78,48,4,23,96,31,6
344,88,74,59,15,66,65,13,57,36,58,3
345,94,95,1,83,81,26,10,54,33,31,7
346,81,31,14,82,37,10,12,3,50,33,5
347,88,25,75,61,66,36,9,58,38,17,5
348,12,50,87,26,39,11,68,78,1,61,5
349,66,40,3,26,1,11,42,47,29,89,3
350,59,30,73,39,1,24,36,50,90,68,3
351,44,34,4,68,94,92,1,26,12,95,5
352,98,47,58,44,34,73,37,17,26,1,3
353,20,52,1,53,84,46,59,12,29,40,2
354,97,19,7,25,26,85,46,81,1,32,7
355,19,26,14,68,29,3,12,87,53,38,5
356,45,24,5,54,9,17,1,8,11,16,5
357,67,2,18,27,60,73,58,68,9,38,4
358,96,52,18,80,50,45,38,66,10,48,4
359,53,29,80,45,73,95,32,13,3,12,3
360,10,18,26,3,53,68,43,39,52,33,3
361,5,19,55,57,87,28,96,51,24,52,4
362,46,26,9,59,40,49,73,8,1,36,4
363,3,4,38,11,12,13,31,60,2,25,4
364,1,43,53,33,79,18,34,29,68,57,3
365,28,27,11,16,1,56,6,37,55,38,4
366,88,82,1,3,69,94,68,59,36,51,6
367,33,19,38,7,53,58,82,76,46,83,4
368,3,82,15,8,30,89,88,17,55,59,3
369,26,1,66,24,53,36,16,54,65,52,3
370,3,81,38,60,20,1,28,67,73,33,4
371,69,75,11,96,4,94,31,81,10,35,7
372,40,80,24,14,33,79,9,16,93,45,4
373,17,32,3,60,39,68,26,74,1,57,2
374,26,59,45,12,28,54,95,24,18,6,4
375,83,1,58,81,41,44,10,94,4,25,3
376,2,94,31,46,11,28,15,66,5,26,3
377,60,89,80,90,1,12,3,59,100,4,2
378,1,88,30,22,52,29,67,42,36,26,3
379,87,54,24,20,5,48,14,38,75,16,4
380,33,60,12,11,22,94,73,61,74,32,2
381,18,1,67,26,28,45,3,24,34,46,3
382,82,47,7,54,74,31,68,11,75,40,5
383,70,44,63,87,4,81,96,67,47,75,5
384,52,9,3,32,21,87,73,88,95,66,3
385,3,87,95,4,64,54,61,19,59,27,2
386,96,11,16,20,78,60,46,38,8,3,3
387,15,42,32,87,29,11,80,25,60,47,4
388,16,30,52,27,11,74,68,4,45,14,2
389,5,19,59,54,32,74,18,84,65,41,2
390,71,19,45,29,77,10,73,14,23,8,5
391,67,96,3,45,1,59,25,22,17,26,3
392,25,88,46,17,67,19,47,40,26,66,4
393,21,86,50,29,40,41,75,59,1,48,4
394,95,53,33,43,23,61,54,30,5,59,6
395,23,95,96,17,3,60,73,31,1,51,2
396,52,19,1,74,25,34,75,15,60,76,6
397,5,25,57,53,1,38,76,16,26,94,4
398,45,80,26,38,81,60,1,61,21,11,2
399,2,7,22,89,5,9,18,45,67,85,2
400,20,5,39,80,94,17,66,81,6,33,6
401,82,29,16,32,52,87,54,47,19,63,5
402,38,74,81,33,11,67,46,87,3,25,5
403,46,25,1,18,59,7,75,39,15,29,3
404,26,12,17,60,63,24,52,4,40,46,7
405,88,1,81,46,19,14,3,69,38,31,4
406,14,33,40,5,26,25,54,1,59,9,4
407,73,4,67,10,66,26,46,5,81,1,4
408,38,64,46,76,1,33,39,35,2,5,6
409,31,7,25,82,46,11,95,18,49,57,3
410,80,32,31,81,36,18,87,49,1,82,2
411,68,86,75,53,46,62,28,12,74,24,3
412,5,72,71,60,80,41,14,54,68,98,4
413,81,96,60,1,87,7,33,24,40,11,4
414,88,37,47,5,1,57,27,29,33,94,5
415,74,23,80,18,33,26,59,67,32,99,5
416,37,95,68,90,36,19,74,54,52,25,4
417,40,26,47,53,6,19,10,8,70,94,6
418,38,26,24,1,89,93,48,18,82,19,4
419,22,82,31,67,72,87,95,32,19,25,4
420,59,61,23,5,67,64,74,49,54,11,4
421,1,54,60,47,59,44,43,82,65,58,4
422,45,12,59,61,81,88,33,8,49,80,3
423,35,17,10,24,11,62,39,87,30,46,3
424,80,1,58,7,33,60,97,95,81,32,4
425,43,41,93,1,33,59,95,66,60,3,5
426,89,94,73,5,19,25,55,24,87,8,5
427,6,57,61,65,40,87,32,60,10,33,3
428,1,49,100,32,40,47,16,52,44,55,6
429,40,1,22,11,46,95,33,66,44,37,3
430,82,20,23,13,18,3,7,68,56,59,2
431,5,47,65,29,59,87,39,50,18,66,4
432,41,52,21,38,13,68,61,26,19,11,5
433,39,95,31,1,61,26,35,67,56,42,6
434,4,26,27,40,19,36,39,81,1,78,3
435,88,54,25,11,2,96,28,44,17,85,4
436,18,59,19,38,1,23,17,27,6,87,4
437,12,74,81,21,59,69,64,66,46,40,2
438,1,10,17,25,19,81,32,90,30,13,2
439,51,8,7,43,46,25,49,10,59,73,5
440,54,46,47,5,11,68,1,59,27,21,4
441,6,31,59,50,67,32,20,1,68,17,3
442,32,26,99,1,33,96,53,17,35,59,5
443,24,17,47,3,53,8,21,13,29,94,3
444,66,11,82,77,75,10,59,34,67,18,7
445,66,51,41,52,67,82,53,10,20,27,4
446,18,66,38,97,9,1,29,55,33,12,2
447,23,61,31,4,89,77,2,28,47,26,5
448,96,52,32,25,60,59,11,86,1,73,3
449,8,59,28,7,67,96,74,54,61,23,5
450,92,40,2,89,30,31,11,6,29,46,6
451,61,59,88,5,33,46,18,97,78,54,4
452,89,79,81,18,33,97,19,52,92,13,4
453,5,96,6,47,56,24,54,27,7,74,3
454,74,89,1,13,83,28,52,38,12,3,3
455,4,96,62,1,10,2,26,75,55,87,4
456,1,33,12,66,61,5,2,25,43,34,4
457,38,32,96,50,89,53,14,54,40,24,3
458,24,81,3,87,75,19,1,45,47,12,7
459,10,82,33,34,31,88,1,76,57,12,6
460,22,16,95,86,79,94,45,25,11,47,7
461,17,82,22,12,1,50,27,38,75,57,5
462,94,66,52,34,1,69,19,18,67,14,4
463,61,89,74,26,93,67,66,4,53,32,7
464,26,68,47,70,63,39,73,33,1,12,3
465,33,40,27,80,26,44,12,24,52,94,5
466,83,4,69,15,16,1,33,49,99,80,4
467,67,39,25,11,82,17,53,55,68,64,3
468,29,48,82,19,1,74,17,22,59,27,5
469,94,17,4,60,45,5,31,12,43,20,2
470,88,39,23,4,59,82,24,40,89,22,3
471,38,40,32,7,78,70,94,15,13,52,5
472,89,67,1,19,3,12,31,78,81,17,4
473,45,64,40,1,5,39,53,52,23,66,4
474,5,89,1,3,82,60,70,24,80,46,3
475,74,14,73,43,57,26,22,15,46,38,4
476,19,84,2,94,68,35,95,59,82,23,3
477,67,75,46,18,52,5,17,43,83,13,4
478,63,96,73,1,47,75,59,37,58,19,6
479,25,19,18,1,30,58,7,98,27,87,4
480,62,3,1,11,47,40,26,16,28,95,4
481,75,86,31,34,68,28,40,8,59,39,5
482,68,5,94,4,7,82,14,1,90,32,3
483,88,29,4,67,96,73,80,20,37,24,5
484,4,36,95,35,47,89,1,82,8,18,2
485,30,24,41,53,35,28,87,29,38,18,4
486,25,7,53,18,73,17,59,21,65,10,6
487,59,11,20,1,10,60,3,74,27,19,4
488,22,43,13,73,75,36,34,74,26,19,5
489,1,44,32,13,18,33,36,7,15,20,8
490,59,73,33,47,1,95,15,87,80,27,8
491,70,82,4,12,15,18,13,39,40,83,3
492,56,36,21,29,3,28,96,95,17,16,4
493,95,37,86,38,67,81,74,68,29,4,3
494,2,19,23,74,87,54,60,82,18,46,4
495,89,1,24,95,12,28,26,53,39,4,7
496,91,54,18,55,68,53,26,46,43,61,3
497,46,17,81,59,6,40,27,97,82,95,4
498,17,73,30,100,55,31,45,3,7,35,4
499,22,87,61,46,17,7,19,94,89,66,3
500,1,12,4,19,73,80,53,24,40,70,7
501,51,47,33,52,40,68,95,5,53,1,4
502,94,66,32,81,17,23,47,1,59,5,5
503,40,32,1,12,19,75,80,30,46,11,7
504,95,40,58,9,81,32,4,17,38,75,6
505,17,4,93,27,51,30,11,36,16,10,4
506,40,1,81,74,75,62,43,87,94,4,5
507,1,7,81,64,95,24,26,13,88,38,2
508,87,95,24,38,96,45,12,1,7,39,7
509,87,22,9,54,1,11,66,23,68,6,3
510,36,66,71,10,97,26,74,42,86,89,5
511,41,97,24,45,73,4,31,47,88,54,3
512,61,81,33,41,39,1,95,17,35,99,3
513,23,12,19,31,61,29,82,11,1,77,8
514,68,63,11,24,32,50,39,76,66,17,3
515,93,27,80,10,96,95,88,26,61,81,3
516,20,39,96,17,89,67,60,7,45,54,4
517,5,72,11,9,80,87,20,66,28,12,3
518,17,96,1,37,11,29,73,8,75,42,4
519,95,13,35,1,10,81,31,47,14,59,7
520,26,17,80,68,18,13,10,67,87,33,4
521,95,60,36,46,11,51,1,81,29,56,6
522,8,80,31,4,42,33,43,1,75,95,4
523,28,58,26,1,8,39,33,61,14,89,3
524,19,50,80,1,3,86,88,39,17,4,3
525,66,19,54,25,74,73,60,1,36,10,5
526,31,52,95,41,45,83,21,33,46,28,4
527,74,88,87,38,45,61,32,25,12,9,8
528,69,87,1,33,39,24,8,6,13,50,3
529,1,45,2,80,48,42,23,31,46,12,4
530,12,31,56,11,52,95,17,67,64,54,2
531,61,67,60,27,16,73,5,62,85,92,5
532,72,2,1,16,46,68,73,52,23,11,5
533,33,13,73,51,24,37,18,91,4,27,4
534,62,38,74,1,35,25,32,73,42,18,4
535,1,24,63,61,87,97,53,5,84,39,2
536,67,11,95,81,1,12,48,96,92,87,5
537,4,19,6,66,22,28,1,25,90,27,4
538,1,3,80,52,35,58,15,42,91,33,3
539,5,19,10,1,71,76,21,3,4,37,4
540,88,47,1,75,59,55,20,96,13,19,3
541,5,26,27,29,18,1,30,76,60,12,2
542,73,3,54,19,47,21,5,50,13,1,3
543,8,70,51,5,31,12,75,1,81,26,6
544,3,54,41,1,25,66,32,82,94,95,4
545,88,57,45,1,81,40,53,10,26,65,4
546,33,6,12,1,81,9,32,5,17,46,7
547,30,80,52,53,26,1,81,46,4,49,3
548,10,18,33,60,22,9,73,58,88,38,5
549,5,26,67,11,19,87,3,1,94,51,5
550,31,80,66,10,22,12,39,75,88,64,3
551,10,96,95,15,47,1,18,75,56,55,4
552,32,66,12,74,18,34,80,89,10,68,5
553,65,39,89,47,49,82,53,76,54,5,7
554,68,66,36,59,14,71,89,25,5,32,5
555,60,75,73,1,88,46,54,12,62,59,2
556,66,82,46,32,81,79,20,63,41,33,2
557,8,1,87,89,44,25,4,24,60,18,4
558,49,48,17,34,68,54,92,97,24,3,4
559,4,32,59,37,1,34,81,95,50,73,4
560,22,79,4,54,11,57,25,8,47,68,8
561,2,61,55,53,24,81,87,80,20,12,4
562,68,1,60,9,21,63,11,45,30,42,2
563,45,53,59,60,1,39,46,10,88,38,4
564,47,45,67,89,35,1,59,80,53,72,4
565,73,3,32,46,57,9,33,5,1,39,4
566,18,87,49,31,33,68,82,1,85,40,6
567,24,33,89,36,45,25,94,67,53,18,5
568,41,37,75,55,1,2,52,35,60,33,8
569,81,4,35,60,38,23,1,45,47,15,5
570,38,46,25,31,2,27,81,70,60,53,4
571,24,17,80,75,45,30,20,33,51,64,4
572,17,54,3,1,11,52,34,6,68,32,2
573,50,40,23,31,9,45,13,35,59,88,2
574,7,3,80,96,81,53,25,26,38,1,2
575,41,40,1,29,59,68,32,46,81,39,3
576,94,53,80,25,73,14,1,81,40,39,2
577,19,96,65,80,51,59,10,46,31,3,3
